Zona;Provincia;Canton;Distrito;Circuito;fecha infraccion;dia;mes;anio;Hora Infracción;hora;minutos;segundos;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;SANTA CECILIA;1/6/2014;1;6;2014;6:30;6;30;0;Asesinatos;22;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;LAS PALMERAS;1/6/2014;1;6;2014;4:00;4;0;0;Asesinatos;16;MASCULINO;SOLTERO;COLOMBIA
ZONA 5;GUAYAS;BALZAR;BALZAR;BALZAR SUR;1/6/2014;1;6;2014;10:20;10;20;0;Asesinatos;36;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;7 LAGOS;30/5/2014;30;5;2014;23:00;23;0;0;Asesinatos;40;MASCULINO;UNION LIBRE;ECUADOR
ZONA 5;GUAYAS;NARANJAL;NARANJAL BALAO;NARANJAL SUR;1/6/2014;1;6;2014;1:00;1;0;0;Asesinatos;70;MASCULINO;DIVORCIADO;ECUADOR
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;ARGELIA;2/6/2014;2;6;2014;9:15;9;15;0;Homicidios;36;FEMENINO;CASADO;ECUADOR
ZONA 1;ESMERALDAS;SAN_LORENZO;SAN LORENZO;FRONTERA;2/6/2014;2;6;2014;6:30;6;30;0;Homicidios;33;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;MACHALA;MACHALA;27 DE FEBRERO;3/6/2014;3;6;2014;1:30;1;30;0;Homicidios;22;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;MACHALA;MACHALA;27 DE FEBRERO;2/6/2014;2;6;2014;22:00;22;0;0;Homicidios;66;MASCULINO;VIUDO;ECUADOR
ZONA 5;GUAYAS;SIMON_BOLIVAR;JUJAN SIMON BOLIVAR;SIMON BOLIVAR;2/6/2014;2;6;2014;20:00;20;0;0;Homicidios;37;MASCULINO;UNION LIBRE;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;GENERAL FARFAN;3/6/2014;3;6;2014;14:00;14;0;0;Homicidios;46;MASCULINO;CASADO;COLOMBIA
